Token,Label
orphenadrine,B-MEDICATION_NAME
35mg/paracet,O
450mg,O
tab,O
take,O
2,B-DOSAGE
tablet,I-DOSAGE
s,O
3,B-FREQUENCY
times,I-FREQUENCY
a,O
day,O
when,B-INSTRUCTION
needed,I-INSTRUCTION
loratadine,B-MEDICATION_NAME
10mg,O
tab,O
take,O
71,O
tablet,O
s,O
every,B-FREQUENCY
morning,I-FREQUENCY
when,B-INSTRUCTION
needed,I-INSTRUCTION
may,O
be,O
taken,B-INSTRUCTION
with,I-INSTRUCTION
or,I-INSTRUCTION
without,I-INSTRUCTION
food,I-INSTRUCTION
may,I-INSTRUCTION
affect,I-INSTRUCTION
alertness,I-INSTRUCTION
warning,I-INSTRUCTION
avoid,B-NOTE
alcoholic,B-NOTE
drinks,B-NOTE
farnotidine,B-MEDICATION_NAME
20,O
imy,O
20,O
tablet,O
s,O
s,O
take,O
one,B-DOSAGE
teblet,I-DOSAGE
s,O
twice,B-FREQUENCY
a,O
vay,O
for,O
1,O
week,O
s,O
chiorpheniramine,B-MEDICATION_NAME
maleate,O
4,O
my,O
10,O
tablet,O
s,O
stari,O
ate,O
23/03,O
2,O
take,O
one,B-DOSAGE
tablet,I-DOSAGE
s,O
every,B-FREQUENCY
night,I-FREQUENCY
for,O
1,O
week,O
s,O
for,O
rur,O
ay,O
nose/itch,B-NOTE
may,O
cause,O
drowsiness,B-NOTE
do,O
n,O
heavy,O
vachinery,O
take,O
as,O
required,O
for,O
rhinormhoea,O
de48,O
or,O
use,O
fluimucil,B-MEDICATION_NAME
600mg,O
acetylcysteine,O
tablet,O
dissolve,O
1,B-DOSAGE
tablet,I-DOSAGE
in,O
a,O
glass,O
of,O
water,O
and,O
drink,O
do,O
this,O
every,O
ning,O
when,B-INSTRUCTION
needed,I-INSTRUCTION
dissolve,B-NOTE
the,I-NOTE
tablet,I-NOTE
in,I-NOTE
water,I-NOTE
before,O
taki,O
hyscine,B-MEDICATION_NAME
butylbromide,O
10,O
ne,O
10,O
tablet,O
s,O
s,O
take,O
one,B-DOSAGE
teblet,I-DOSAGE
s,O
3,B-FREQUENCY
times,I-FREQUENCY
a,O
day,O
for,O
3,O
day,O
s,O
atrizin,B-MEDICATION_NAME
10mg,O
cetirizine,O
qty,O
10,O
tab/s,O
one,B-DOSAGE
tab,I-DOSAGE
to,O
be,O
taken,O
every,B-FREQUENCY
morning,I-FREQUENCY
for,O
itch/allergies,B-NOTE
runny,I-NOTE
nose,I-NOTE
take,O
mtr,O
or,O
mtholt,O
food,B-INSTRUCTION
may,O
cause,O
drowsiness,B-NOTE
if,O
afssected,O
dont,O
drive/operate,O
machinery,O
cexofenadine,B-MEDICATION_NAME
hcl,O
tab,O
180mg,O
take,O
1,B-DOSAGE
tablet,I-DOSAGE
s,O
in,O
the,B-FREQUENCY
morning,I-FREQUENCY
when,B-INSTRUCTION
needed,I-INSTRUCTION
for,O
itch/runny,B-NOTE
nose,O
smay,O
cause,O
drowsiness,B-NOTE
or,O
dizziness,B-NOTE
do,O
not,O
drive,O
or,O
operate,O
machiniry,O
avoid,O
alcohol,O
store,O
below,O
30,O
degrees,O
celsius,O
azole,B-MEDICATION_NAME
cap,O
20mg,O
1,B-DOSAGE
capsule,I-DOSAGE
s,O
in,O
