name,Synonyms,CONU 
20-Apr,,
(-)-beta-elemene,".beta.-elemene | (-)-.beta.-elemene | (-)-b-elemene | (-)-beta-elemene | cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, (1s,2s,4r)- | elemene, (-)-.beta.-",
(-)-menthol 1-propylene glycol carbonate,"(-)-menthol (+/-)-1-propylene glycol carbonate | 2-hydroxypropyl ((1r,2s,5r)-2-isopropyl-5-methyl-cyclohexyl) carbonate | carbonic acid, 2-hydroxypropyl (1r,2s,5r)-5-methyl-2-(1-methylethyl)cyclohexyl ester | fema no. 3806, 1-propylene glycol carbonate",
"({[(3e)-2'-oxo-2',7'-dihydro-2,3'-biindol-3(7h)-ylidene]amino}oxy)acetic acid",,
({3-[1-(4-hydroxy-2-oxo-2h-chromen-3-yl)-propyl]-phenylcarbamoyl}-methyl)-carbamic acid tert-butyl ester,tert-butyl n-[({3-[(1s)-1-(4-hydroxy-2-oxo-2h-chromen-3-yl)propyl]phenyl}carbamoyl)methyl]carbamate,
(+)-1-bromo-2-propanol,(s)-(+)-1-bromo-2-propanol,
(+)-2-(4-biphenyl)propionic acid,"(2s)-2-(4-biphenylyl)propanoic acid | 2-(1,1'-biphenyl-4-yl)propanoic acid",nubeqa   
(+)-mefloquine,"(+)-(11r,2's)-erythro-mefloquine | (+)-mefloquine | [(11r,2's)-2,8-bis(trifluoromethyl)quinolin-4-yl]-(2-piperidyl)methanol",
(+)-menthol,"(+)-(1s,2r,5s)-menthol | (+)-(1s,3s,4r)-menthol | (1s,2r,5s)-(+)-menthol | (1s,2r,5s)-menthol | d-menthol",
(+)-rutamarin alcohol,(+)-chalepin,naratriptan   
"(1,2,6,7-3h)testosterone","testosterone, 1,2,6,7-h-3",
"(10e,12z)-octadecadienoic acid","(10e,12z)-octadeca-10,12-dienoic acid | (e,z)-octadeca-10,12-dienoic acid | 10-trans-12-cis-cla | 10-trans-12-cis-conjugated linoleic acid | 10-trans-12-cis-linoleic acid | 10-trans-12-cis-octadecadienoic acid | 10,12-trans,cis-octadecanoic acid | c18:2, n-6,8 cis,trans",
"(10r)-10-formyl-5,8,10-trideazafolic acid",,
"(10r)-10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8h-[1,4]diazepino[5',6':4,5]thieno[3,2-f]quinolin-8-one",,
"(11r)-10-acetyl-11-(2,4-dichlorophenyl)-6-hydroxy-3,3-dimethyl-2,3,4,5,10,11-hexahydro-1h-dibenzo[b,e][1,4]diazepin-1-one",,
"(11s)-8-chloro-11-[1-(methylsulfonyl)piperidin-4-yl]-6-piperazin-1-yl-11h-benzo[5,6]cyclohepta[1,2-b]pyridine",,
(12r)-12-hydroxyeicosapentaenoic acid,,
"(13r,15s)-13-methyl-16-oxa-8,9,12,22,24-pentaazahexacyclo[15.6.2.16,9.1,12,15.0,2,7.0,21,25]heptacosa-1(24),2,4,6,17(25),18,20-heptaene-23,26-dione",,
"(17beta)-17-(cyanomethyl)-2-methoxyestra-1(10),2,4-trien-3-yl sulfamate",,
(1-benzyl-5-methoxy-2-methyl-1h-indol-3-yl)acetic acid,,
"(1e)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1h-pyrazol-4-yl)-2,3-dihydro-1h-inden-1-one oxime",,
(1h-indol-3-yl)-(2-mercapto-ethoxyimino)-acetic acid,,
"(1-hydroxy-1-phosphono-2-[1,1';4',1'']terphenyl-3-yl-ethyl)-phosphonic acid",,
(1-hydroxy-2-oxopiperidin-3-yl)phosphonic acid,"phosphonic acid, p-(1-hydroxy-2-oxo-3-piperidinyl)-",
"(1-hydroxyheptane-1,1-diyl)bis(phosphonic acid)",,
"(1-hydroxynonane-1,1-diyl)bis(phosphonic acid)",,
(1-methyl-1h-imidazol-2-yl)-(3-methyl-4-{3-[(pyridin-3-ylmethyl)-amino]-propoxy}-benzofuran-2-yl)-methanone,,
(1n)-4-n-butoxyphenylsulfonyl-(2r)-n-hydroxycarboxamido-(4s)-methanesulfonylamino-pyrrolidine,,
(1r)-1-(2-thienylacetylamino)-1-phenylmethylboronic acid,,
"(1r)-1,2,2-trimethylpropyl (r)-methylphosphinate",,
"(1r)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid",,
(1r)-2-[(cyanomethyl)amino]-1-({[2-(difluoromethoxy)benzyl]sulfonyl}methyl)-2-oxoethyl morpholine-4-carboxylate,,
"(1r)-2-[(diaminomethylene)amino]-1-{4-[(4r)-4-(hydroxymethyl)-1,3,2-dioxaborolan-2-yl]phenyl}ethyl nicotinate",,
(1r)-2-amino-1-[3-(trifluoromethyl)phenyl]ethanol,,
(1r)-2-phenylacetamido-2-(3-carboxyphenyl)ethyl boronic acid,,
(1r)-3-chloro-1-phenylpropan-1-ol,,
(1r)-4-(3-phenoxyphenyl)-1-phosphonobutane-1-sulfonic acid,,
"(1r)-4-[(1e,3e,5e,7z,9e,11z,13e,15e)-17-hydroxy-3,7,12,16-tetramethylheptadeca-1,3,5,7,9,11,13,15-octaen-1-yl]-3,5,5-trimethylcyclohex-3-en-1-ol",,jubrexa orodiperible  
(1r)-menthyl hexyl phosphonate group,,
"(1r)-n,6-dihydroxy-7-methoxy-2-[(4-methoxyphenyl)sulfonyl]-1,2,3,4-tetrahydroisoquinoline-1-carboxamide",,
"(1r, 2s)-cis 1,2 dihydroxy-1,2-dihydronaphthalene",,
"(1r,2r)-n-(2-aminoethyl)-2-{[(4-methoxyphenyl)sulfonyl]methyl}cyclohexanecarboxamide",,
"(1r,2r,3r,4s,5r)-4-(benzylamino)-5-(methylthio)cyclopentane-1,2,3-triol","benzylation of mannostatin a, 1b",
"(1r,2r,3s,4r,6s)-3,4,6-trihydroxy-5-{[(s)-hydroxy(3-hydroxy-2-oxopropoxy)phosphoryl]oxy}-1,2-cyclohexanediyl bis[dihydrogen (phosphate)]",,aprovel    
"(1r,2r,3s,4r,6s)-4,6-diamino-2-{[3-o-(2,6-diamino-2,6-dideoxy-beta-l-idopyranosyl)-2-o-{2-[(piperidin-3-ylmethyl)amino]ethyl}-beta-d-ribofuranosyl]oxy}-3-hydroxycyclohexyl 2-amino-2-deoxy-alpha-d-glucopyranoside","(1r,2r,3s,4r,6s)-4,6-diamino-2-{[3-o-(2,6-diamino-2,6-dideoxy-β-l-idopyranosyl)-2-o-{2-[(piperidin-3-ylmethyl)amino]ethyl}-β-d-ribofuranosyl]oxy}-3-hydroxycyclohexyl 2-amino-2-deoxy-α-d-glucopyranoside",
"(1r,2s)-2-(5-thioxo-4,5-dihydro-1h-1,2,4-triazol-3-yl)cyclohexanecarboxylic acid",,
"(1r,2s)-2-phenylcyclopropanaminium","(1r,2s)-tranylcypromine(1+)",
"(1'r,2's)-9-(2-hydroxy-3'-keto-cyclopenten-1-yl)adenine",,
"(1r,3r)-5-[(2e)-3-{(1s,3r)-2,2,3-trimethyl-3-[6,6,6-trifluoro-5-hydroxy-5-(trifluoromethyl)hex-3-yn-1-yl]cyclopentyl}prop-2-en-1-ylidene]cyclohexane-1,3-diol",,
"(1r,4s)-2-azabornane",,
"(1r,4s,7as)-1-(1-formylprop-1-en-1-yl)-4-methoxy-2,4,5,6,7,7a-hexahydro-1h-isoindole-3-carboxylic acid",,
